"id","name","surname","phone"
1,"Tom","Cruise","23863633961"
2,"Brad","Pitt","40363827753"
3,"Angelina","Jolie","92898494960"
4,"Leonardo","DiCaprio","19744821641"
5,"Natalie","Portman","57624023503"
6,"Emma","Watson","31035883498"
7,"Johnny","Depp","81372041917"
8,"Scarlett","Johansson","43541981298"
9,"George","Clooney","77589483464"
10,"Michael","Jackson","47171512493"
11,"Taylor","Swift","52871176121"
12,"Adele","Adkins","23971543569"
13,"Beyonce","Knowles","58286114803"
14,"Justin","Bieber","28151325282"
15,"Rihanna","Fenty","70487697915"
16,"Ariana","Grande","45197438759"
17,"Kanye","West","80351243978"
18,"Drake","Graham","75106070939"
19,"Ed","Sheeran","63500797513"
20,"David","Newton","11323133998"
21,"Marilyn","Curie","07783552062"
22,"Elizabeth","Einstein","11766941428"
23,"Paul","Tesla","28046240482"
24,"Elvis","Darwin","78581476601"
25,"Madonna","Hawking","98911939642"
26,"John","Feynman","24820833951"
27,"Freddie","Hubble","62103452541"
28,"Whitney","Sagan","31195110027"
29,"Muhammad","Beckham","00340685730"
30,"Lionel","Monroe","02515027531"
31,"Bob","Taylor","27383741876"
32,"Whitney","McCartney","61682868871"
33,"Bruce","Presley","31042995446"
34,"Frank","Ciccone","42787293712"
35,"Prince","Lennon","46253075564"
36,"Bob","Mercury","92806290253"
37,"Jimi","Houston","07949777420"
38,"Janis","Ali","62976055478"
39,"Miles","Messi","96725815446"
40,"Ella","Marley","54185228033"
41,"Bob","Houston","39449743924"
42,"Eminem","Lee","85516249100"
43,"Diana","Sinatra","05036174009"
44,"Aretha","Prince","91765494321"
45,"Stevie","Marley","78457508389"
46,"Jim","Hendrix","70254134450"
47,"Barbra","Joplin","58088976630"
48,"Ray","Davis","71326050373"
49,"Usain","Fitzgerald","21538379012"
